;Unnamed: 0;text;cluster;score
0;0;terus sering sendiri mohon mobile mau lot keluar kelas kantor ingat baru bangking baik aplikasi aktivasi aja;3.0;2.0
1;1;yang ujung transfer sulit padahal nomer minta masuk malah login kantor hampir guna cabang blokir benar baru baik atmnya aplikasi aktivasi;3.0;1.0
2;2;udah sama ribet padahal mobile mandiri bni bank aktivasi;3.0;1.0
3;3;virtual transfer transaksi sering sedot saldo mahal kalau jg gagal dana biso biaya bayar bata akun admin;3.0;1.0
4;4;ulang sulit sering sangat prose nasabah minta eror banking aktivasi;3.0;3.0
5;5;transfer sering pa mau;3.0;3.0
6;6;transaksi mudah aplikasi;0.0;5.0
7;7;bagus;1.0;5.0
8;8;salah padahal koneksi jaring jadi internet ingat coba cek buka bantu bagus;3.0;2.0
9;9;lama kartu atmnya;3.0;1.0
10;10;yang via telpon sangat respon mbanking layan kecewa hari eror buruk buat benerin baru banking banget atm;3.0;1.0
11;11;ulang terus restart perangkat kartu cabang atm aktivasi;3.0;1.0
12;12;transaksi terlalu tampil sama ribet paham otp mudah kena dengan cuman biaya besar bank;3.0;3.0
13;13;sudah mau masuk mana keluar kata buka bagai aplikasi;0.0;2.0
14;14;telpon saldo rb pulsa prose potong masuk lama kali habis gagal berapa beli;3.0;1.0
15;15;update terus paket masak data bulan aplikasi;0.0;3.0
16;16;sering sendiri blokir aplikasi;0.0;1.0
17;17;sistem masalah lumayan kelas ganggu baik bagus aplikasi;0.0;4.0
18;18;ulang pa mau masuk malah lagi jauh instal hubung hr hp bank bagaimana awal akun;3.0;1.0
19;19;transaksi sulit sering mudah masalah malah bukan;3.0;1.0
20;20;baik;2.0;5.0
21;21;tambah sim mudah lepas kartu akun;3.0;2.0
22;22;utama tutup tunai transaksi tidak tiba tiap tarik tahun susah ribet pernah narik min mau kota kok kemaren kartu kalau jadi hambat ganti gak daerah bank banget atmnya;3.0;4.0
23;23;ulang ujung terus nya masa blokir aplikasi aktivasi;3.0;1.0
24;24;sering sedot saldo qris masalah jaring gagal error aplikasi;0.0;1.0
25;25;tidak sudah gak eh cacat cabang atm aplikasi;0.0;1.0
26;26;terus suka sendiri minta kelas daerah blokir benar bank bagus aplikasi aktivasi;3.0;3.0
27;27;masalah jaring gabisa buka;3.0;1.0
28;28;tiba sampah panjang otp libur lambat keluar jam blokir aplikasi;3.0;1.0
29;29;ulang tidak rek nomor minta kode kartu bener aktivasi;3.0;2.0
30;30;tiba sering layan gagal blokir bank baik aplikasi akun;3.0;1.0
31;31;wa tempat susah soal selalu pa mau masuk login koneksi kalo kali jangan gimana coba buka buat blokir bank baik bagus;3.0;2.0
32;32;sangat manfaat bantu baik;2.0;4.0
33;33;jelas ganggu error dikit aplikasi;0.0;1.0
34;34;bagus;1.0;5.0
35;35;transfer ribet mau banget;3.0;2.0
36;36;versi sih sekarang;3.0;5.0
37;37;simpel praktis mudah aplikasiny;3.0;5.0
38;38;mobile banking baik;2.0;5.0
