score;content
2;Aplikasi sering keluar sendiri. Baru mau sudah ada peringatan 184 . Harus aktivasi terus aktivasi tidak bisa sendiri harus ke kantor truss.. Mohon untuk di perbaiki sekelas mobile bangking aja lemot
1;Tolong diperbaiki lagi aplikasinya, hampir setiap login sulit, diminta aktivasi lagi nanti ujung-ujungnya diblokir padahal nomer yg dimasukkan sudah benar. Updete terbaru malah tidak bisa digunakan untuk transfer dan untuk perbaikan ATMnya kadeluwarsa tapi tidak ada stok di kantor cabangnya.
1;Ribet, Aktivasi harus ke bank padahal BNI mobile, BRImo sama Livin mandiri udah bisa aktivasi tanpa ke Bank
1;2024, transfer rempong, kalau lagi tf pembayarannya sering gagal tapi saldo kesedot. Tf ke Dana tidak biso, virtual akun jg terbatas.. Sedangkan biaya admin transaksi mahal... Aaaaaghhhhhh
3;M-banking sering eror minta aktivasi ulang dan proses sangat mempersulit nasabah.
3;Sering ganguan pas mau tf
5;Dengan aplikasi ini memudahkan kita untuk bertransaksi,,,
5;Bagus
2;Kenapa tidak bisa di buka.. dan ada peringatan peringatan terjadi kesalahan cek koneksi internet anda dan coba lagi nanti..padahal jaringan saya bagus..tolong di bantu
1;Kartu atmnya lama #cabangkobabangkabelitung
1;3x benerin banking Atm di wilayah kami,, Langka Mbanking baru buat 1 hari Besoknya sudah eror Begitu seterusnya Pengaduan via tlp tidak ada respon Kecewa banget pelayanan yg sangat buruk
1;Harus aktivasi ulang terus karena restart perangkat, kartu atm expired dan kosong terus stok kartu di cabang
3;Tampilan mudah dipahami, cuman biaya transaksi masih terlalu besar, untuk transaksi sesama bank masih di kenakan tarif, terkadang ribet dg OTP.
2;Stiap mau buka apk pst sdh terkeluar,,mau masuk katanya tidak dtemukan,,harus bagai mana ini
1;Sudah berapa kali gagal beli pulsa .. saldo terpotong ..pulsa gagal masuk... proses pengsmbalian lama.. telpon cs habis 50rb
3;Aplikasi ini masak setiap bulan harus update trs tidak bisa paket data
1;aplikasi sering terblokir sendiri
4;Aplikasi lumayan bagus untuk sekelas BUMD tetapi tolong di perbaiki masalah gangguan sistem
1;Hp saya saya instal ke pengaturan awal,afk setelah didonwload ulang pas mau masuk ke akun kita lg malah tidak bisa lg,sepertinya hrs hubungi cs bank lagikan bank kita jauh bagaimana ini
1;Bukan malah mempermudah transaksi ini malah mempersulit. seringnya bermasalah
5;Yang terbaik
2;Akun mudah terbelokir saat melepas / tambah kartu SIM
4;Ok
4;kok kartu ATMnya gak pernah ready ya, tiap mau ganti kartu gak pernah ada susah banget mau transaksi apalagi klo mau tarik tunai, ribet kalau ke banknya belum lagi kalau tiba-tiba mau narik tapi banknya tutup jadi terhambat, tolong ya min terutama daerah kota Pagaralam ga pernah ready kartu ATMnya dari tahun kemaren!!
1;Aplikasi Taik masa aktivasi ulang trs, ujung²nya diblokir.
1;aplikasi sering error dan time out jaringan. QRIS BERMASALAH GAGAL TAPI SALDO KESEDOT
1;Aplikasi gak guna..sudahlah atm gk ada stock di cbg..eh MBnya cacat..gk bisa digunain
3;Sebenarnya aplikasi sudah bagus untuk sekelas bank daerah Tapi terkadang suka blokir sendiri, minta aktivasi terus
1;Gabisa dibuka karena masalah jaringan teroosss..
1;Aplikasi sampah .. otp lambat keluar tiba tiba ke blokir di jam sore saat besok libur panjang
2;MINTA AKTIVASI ULANG KODE SUDAH BNER ,NO REK NO KARTU BENER GA BISA TRBLOKIR
1;cardles tidak bisa, tranfers ke bank lain sering gagal, aplikasi tidak responsif, akun tiba-tiba diblokir. Tolong pelayanannya diperbaiki.
2;Setiap kali mau login was-was takutnya terblokir, gimana nggak soalnya di tempat saya koneksi nggak selalu bagus. Cobalah perbaiki kalo pas login susah masuk janganlah diblokir, kanrepot mau ke bank buat buka blokir
4;Baik dan sangat membantu dalam pemanfaatannya
1;Aplikasi tidak jelas dikit gangguan, error, minimal ada updatelah untuk aplikasi ini!!
5;bagus
2;Mau tf ribet bgt hahha
5;Mantep sih yang versi sekarang
5;Aplikasiny mudah di mengerti, simpel dan praktis
5;Mobile Banking Terbaik
1;Mohon diperbaiki, masa karna melepaskan kartu sim card d hp dan d pasang lagi ,bangking ny minta aktivasi ulang dan ke blokir , cape bolak balik bank ...
1;Setelah membenahi di bank sumsel babel aplikasi bisa dibuka, tp setelah bbrpa hari gak dibuka minta aktivasi ulang tp alhasil perangkat tidak dikenali padahal masih di hp dan nomor yang sama. Tolong untuk pengembang aplikasi. Bug yg sperti itu dikurang²i.. Jelas ini merugikan kami yg jauh akses dr bank. Dan akun terblokir saat ini.. Kami mhon diperbaiki. Tks. 🙏🙏
1;Mau nelpon call centernya susah banget ya?? Pulsa udah habis puluhan ribu tp gak masuk2. Dan aplikasinya juga sering eror.
5;Mantap
5;Mantap
5;Aplikasinya keren, dan mudah digunakan 👍
5;Semakin hari semakin baik, ada perkembangan dari setiap update
5;Aplikasi yg sangat membantu sekali
5;Aplikasi bagus dan berguna
1;Sudah saya input rekeningnya di m-banking dan sudah benar, pas ngirim rekeningnya ga terdaftar...? Dan saya mohon udh hampir mau 3 bulan kartu atm saya kadaluarsa. Dan juga transfer gagal malah duitnya ga balik ke rekening. Bisa ga sih pemerintah ga usah pakai bank daerah. Repotin aja. Ga bermutu juga.
5;Aplikasi berkerja dengan baik.
2;gimana ini sebelum perbaruan appnya baik2 saja setelah perbaruan kok ndak bisa masuk app katanya koneksi internet gangguan atau apa. pakai mbangking bukannya memudahkan malah makin ribet mana jauh pula sama bank.. masa tiap berapa bulan harus ke bank buat benerin mbangkingnya aja. tolong lah permudah kami yg rumahnya di pelosok ini
3;Kenapa aplikasi sekarang minta aktivasi ulang terus yah.masuk selalu gagal ?
1;sangat jelek sekali, transaksi sering error dan tertunda, saldo sudah terpotong tetapi transfer tidak masuk, giliran komplain menunggu 14 hari kerja. sangat berbahaya, terpaksa memakai bank ini karena gaji pns ke bank ini
1;Entah hp sedang diperbaiki atau apa pun, ketika kartu sim dikeluarkan dan dimasukkan lagi langsung minta aktivasi, diaktivasi otp diterima tapi akun langsung diblokir. SUDAH 7 KALI DATANG KE KANTOR CABANG UNTUK AKTIVASI KARENA DIBLOKIR (KEAMANAN TERLAMPAU KETAT, COBA AJA KARTU SIM CABUT DAN PASANG LAGI, PASTI KEBLOKIR).
2;Baik
1;kalo ada bintang 0 ku kasih bintang 0 aja ini, bsb sekarang jelek banget selalu minta aktivasi ulang setiap buka bsb banking👎
5;Mantap sangat bagussss bank terbaik sepanjang masa
3;Sebenarnya apknya sudah bagus. Cuma gampang keblokir tiba2 suruh aktivasi ulang giliran sudah di masukan nomer rek. Keterangan perangkat tidak di ketahui. Padahal masih pakek perangkat yang sama. Apalagi aktivasi harus ke kantor banknya langsung.
1;Susah buat transfer online
5;Aplisi sangat menbantu
1;Sering Banget Minta Aktivasi ulang, Salah ketik sekali langsung keblokir, bikin ribetttt, salah sekali langsung blokirrrrrr🗿
5;Mntap
5;Mantap memudahkan pns
5;Sudah canggih tidak.perlu otp untuk transaksi
1;Notifnya Error melulu
1;Terlalu sering meminta aktifasi ulang, membuat tidaknyaman pengguna
5;Sangat bermanfaat
5;Oke tingkatkan lagi
5;Lancar terus
5;Di android 10 masih error, tidak bisa login simcard tidak terdeteksi,,
5;Sudah baik untuk kelas bank daerah. Semoga kedepannya mobile banking bank sumselbabel bisa transaksi pembelian token listrik
5;Aplikasi bermanfaat sekali
2;Tolonglah admin diperhatikan servernya. Masa saya harus registrasi tiap kali mau login.
3;bisa gk ya aplikasinya d buat kalo aktivasi ulang trus gk bisa jdi keblokir dan harus ke bank. ribet banget rasanya 😪😪 gegara sinyal trus gk bisa aktivasi bisa gk konfirmasinya via chat atau tlpn aja. Terimakasih
2;setiap mau beli pulsa, selalu error dan saldo saya terpakai, sedangkan pulsanya ga masuk
5;mantul parah
5;Ini gimana caranya aktivasi ulang apa harus ke bank terdekat??
1;Aplikasi ga jelas baru daftar mbanking kemaren. Sekarang disuruh aktivasi ulang tidak jelas gak ada menu buat lapor jga gajelas
5;👍👍
5;aplikasi mntap ,smga lbih baik lagi
5;Hebat euyy
1;aplikasi lelet, jelek, pakai kode otp segala, lama lagi nunggu kodenya, ujungnya GAK muncul
5;Suka susah klo transaksi malam2..
5;Apk mudah di gunakan,MANTAP
5;Top aplikasi
5;Aplikasinya sangat bagus dan mempermudah kita untk bertransaksi
5;Aplikasi bagus
5;Sangat aman ,mobile ini
5;Mudah di gunakan, sangat aman ,
5;Aplikasinya bagus.. agar ditingkatkan kenyamanan dan keamanan kami selaku pengguna jasa bank sumsel babel..
5;Sangat bermanfaat
5;Sangat membantu
1;Apk busuk, masa ganti perangkat malah di blokir, mana sudah tidak ada update signifikan, SADAR DIRI WOI, Update (di tanggal 16 april) Lagi lagi terblokir perkara update apk, apk M-banking terampas yg pernah saya coba
5;Transaksi bisa lebih mudah
5;BSB mbanking mantap
5;Aplikasi sangat berguna buat transaksi kapan saja, mohon buat transaksi tanpa kartu di ATM semoga langsung ad juga terimakasih
5;Simpel & user friendly
5;Mantul.luar biasa
1;Dr sekian apk bank, hanya Sumsel Babel yg ribet Mau aktivasi terus Gagal terus Tdk dipake butuh Dipake menyusahkan
5;👍👍
5;Semoga fasilitas di mobile lebih banyak lagi utk transaksi,,
5;Mbankingnya no ribet ribet... oke punya.
5;Transaksi makin mudah semenjak ad BI fast.
5;Baik
5;Sangat berguna
2;Apaan sih ga jelas banget, tiap mau top up e wallet atau qris suka banget gagal dan duit kepotong, nunggu pengembalian lama banget pula , benerin dulu lah sistemnya , masa selalu aja kena begini
