,score,content,case_folding,clean,filtering,tokenize,stopword,stemmer,normalizing
0,2,Aplikasi sering keluar sendiri. Baru mau sudah ada peringatan 184 . Harus aktivasi terus aktivasi tidak bisa sendiri harus ke kantor truss.. Mohon untuk di perbaiki sekelas mobile bangking aja lemot,aplikasi sering keluar sendiri. baru mau sudah ada peringatan 184 . harus aktivasi terus aktivasi tidak bisa sendiri harus ke kantor truss.. mohon untuk di perbaiki sekelas mobile bangking aja lemot,aplikasi sering keluar sendiri  baru mau sudah ada peringatan     harus aktivasi terus aktivasi tidak bisa sendiri harus ke kantor truss   mohon untuk di perbaiki sekelas mobile bangking aja lemot,aplikasi sering keluar sendiri  baru mau sudah ada peringatan     harus aktivasi terus aktivasi tidak bisa sendiri harus ke kantor truss   mohon untuk di perbaiki sekelas mobile bangking aja lemot,"['aplikasi', 'sering', 'keluar', 'sendiri', 'baru', 'mau', 'sudah', 'ada', 'peringatan', 'harus', 'aktivasi', 'terus', 'aktivasi', 'tidak', 'bisa', 'sendiri', 'harus', 'ke', 'kantor', 'truss', 'mohon', 'untuk', 'di', 'perbaiki', 'sekelas', 'mobile', 'bangking', 'aja', 'lemot']","['aplikasi', 'sering', 'keluar', 'sendiri', 'baru', 'mau', '', '', 'peringatan', '', 'aktivasi', 'terus', 'aktivasi', '', '', 'sendiri', '', '', 'kantor', 'truss', 'mohon', '', '', 'perbaiki', 'sekelas', 'mobile', 'bangking', 'aja', 'lemot']","['aplikasi', 'sering', 'keluar', 'sendiri', 'baru', 'mau', '', '', 'ingat', '', 'aktivasi', 'terus', 'aktivasi', '', '', 'sendiri', '', '', 'kantor', 'truss', 'mohon', '', '', 'baik', 'kelas', 'mobile', 'bangking', 'aja', 'lot']",aplikasi sering keluar sendiri baru mau   ingat  aktivasi terus aktivasi   sendiri   kantor truss mohon   baik kelas mobile bangking aja lot
1,1,"Tolong diperbaiki lagi aplikasinya, hampir setiap login sulit, diminta aktivasi lagi nanti ujung-ujungnya diblokir padahal nomer yg dimasukkan sudah benar. Updete terbaru malah tidak bisa digunakan untuk transfer dan untuk perbaikan ATMnya kadeluwarsa tapi tidak ada stok di kantor cabangnya.","tolong diperbaiki lagi aplikasinya, hampir setiap login sulit, diminta aktivasi lagi nanti ujung-ujungnya diblokir padahal nomer yg dimasukkan sudah benar. updete terbaru malah tidak bisa digunakan untuk transfer dan untuk perbaikan atmnya kadeluwarsa tapi tidak ada stok di kantor cabangnya.",tolong diperbaiki lagi aplikasinya  hampir setiap login sulit  diminta aktivasi lagi nanti ujung ujungnya diblokir padahal nomer yg dimasukkan sudah benar  updete terbaru malah tidak bisa digunakan untuk transfer dan untuk perbaikan atmnya kadeluwarsa tapi tidak ada stok di kantor cabangnya,tolong diperbaiki lagi aplikasinya  hampir setiap login sulit  diminta aktivasi lagi nanti ujung ujungnya diblokir padahal nomer yg dimasukkan sudah benar  updete terbaru malah tidak bisa digunakan untuk transfer dan untuk perbaikan atmnya kadeluwarsa tapi tidak ada stok di kantor cabangnya,"['tolong', 'diperbaiki', 'lagi', 'aplikasinya', 'hampir', 'setiap', 'login', 'sulit', 'diminta', 'aktivasi', 'lagi', 'nanti', 'ujung', 'ujungnya', 'diblokir', 'padahal', 'nomer', 'yg', 'dimasukkan', 'sudah', 'benar', 'updete', 'terbaru', 'malah', 'tidak', 'bisa', 'digunakan', 'untuk', 'transfer', 'dan', 'untuk', 'perbaikan', 'atmnya', 'kadeluwarsa', 'tapi', 'tidak', 'ada', 'stok', 'di', 'kantor', 'cabangnya']","['', 'diperbaiki', '', 'aplikasinya', 'hampir', '', 'login', 'sulit', 'diminta', 'aktivasi', '', '', 'ujung', 'ujungnya', 'diblokir', 'padahal', 'nomer', 'yg', 'dimasukkan', '', 'benar', 'updete', 'terbaru', 'malah', '', '', 'digunakan', '', 'transfer', '', '', 'perbaikan', 'atmnya', 'kadeluwarsa', '', '', '', 'stok', '', 'kantor', 'cabangnya']","['', 'baik', '', 'aplikasi', 'hampir', '', 'login', 'sulit', 'minta', 'aktivasi', '', '', 'ujung', 'ujung', 'blokir', 'padahal', 'nomer', 'yg', 'masuk', '', 'benar', 'updete', 'baru', 'malah', '', '', 'guna', '', 'transfer', '', '', 'baik', 'atmnya', 'kadeluwarsa', '', '', '', 'stok', '', 'kantor', 'cabang']", baik  aplikasi hampir  login sulit minta aktivasi   ujung ujung blokir padahal nomer yang masuk  benar updete baru malah   guna  transfer   baik atmnya kadeluwarsa    stok  kantor cabang
2,1,"Ribet, Aktivasi harus ke bank padahal BNI mobile, BRImo sama Livin mandiri udah bisa aktivasi tanpa ke Bank","ribet, aktivasi harus ke bank padahal bni mobile, brimo sama livin mandiri udah bisa aktivasi tanpa ke bank",ribet  aktivasi harus ke bank padahal bni mobile  brimo sama livin mandiri udah bisa aktivasi tanpa ke bank,ribet  aktivasi harus ke bank padahal bni mobile  brimo sama livin mandiri udah bisa aktivasi tanpa ke bank,"['ribet', 'aktivasi', 'harus', 'ke', 'bank', 'padahal', 'bni', 'mobile', 'brimo', 'sama', 'livin', 'mandiri', 'udah', 'bisa', 'aktivasi', 'tanpa', 'ke', 'bank']","['ribet', 'aktivasi', '', '', 'bank', 'padahal', 'bni', 'mobile', 'brimo', 'sama', 'livin', 'mandiri', 'udah', '', 'aktivasi', '', '', 'bank']","['ribet', 'aktivasi', '', '', 'bank', 'padahal', 'bni', 'mobile', 'brimo', 'sama', 'livin', 'mandiri', 'udah', '', 'aktivasi', '', '', 'bank']",ribet aktivasi   bank padahal bni mobile brimo sama livin mandiri udah  aktivasi   bank
3,1,"2024, transfer rempong, kalau lagi tf pembayarannya sering gagal tapi saldo kesedot. Tf ke Dana tidak biso, virtual akun jg terbatas.. Sedangkan biaya admin transaksi mahal... Aaaaaghhhhhh","2024, transfer rempong, kalau lagi tf pembayarannya sering gagal tapi saldo kesedot. tf ke dana tidak biso, virtual akun jg terbatas.. sedangkan biaya admin transaksi mahal... aaaaaghhhhhh",transfer rempong  kalau lagi tf pembayarannya sering gagal tapi saldo kesedot  tf ke dana tidak biso  virtual akun jg terbatas   sedangkan biaya admin transaksi mahal    aaaaaghhhhhh,transfer rempong  kalau lagi tf pembayarannya sering gagal tapi saldo kesedot  tf ke dana tidak biso  virtual akun jg terbatas   sedangkan biaya admin transaksi mahal    ,"['transfer', 'rempong', 'kalau', 'lagi', 'tf', 'pembayarannya', 'sering', 'gagal', 'tapi', 'saldo', 'kesedot', 'tf', 'ke', 'dana', 'tidak', 'biso', 'virtual', 'akun', 'jg', 'terbatas', 'sedangkan', 'biaya', 'admin', 'transaksi', 'mahal']","['transfer', 'rempong', 'kalau', '', 'tf', 'pembayarannya', 'sering', 'gagal', '', 'saldo', 'kesedot', 'tf', '', 'dana', '', 'biso', 'virtual', 'akun', 'jg', 'terbatas', '', 'biaya', 'admin', 'transaksi', 'mahal']","['transfer', 'rempong', 'kalau', '', 'tf', 'bayar', 'sering', 'gagal', '', 'saldo', 'sedot', 'tf', '', 'dana', '', 'biso', 'virtual', 'akun', 'jg', 'batas', '', 'biaya', 'admin', 'transaksi', 'mahal']",transfer rempong kalau  transfer bayar sering gagal  saldo sedot transfer  dana  biso virtual akun jg bata  biaya admin transaksi mahal
4,3,M-banking sering eror minta aktivasi ulang dan proses sangat mempersulit nasabah.,m-banking sering eror minta aktivasi ulang dan proses sangat mempersulit nasabah.,  banking sering eror minta aktivasi ulang dan proses sangat mempersulit nasabah,  banking sering eror minta aktivasi ulang dan proses sangat mempersulit nasabah,"['banking', 'sering', 'eror', 'minta', 'aktivasi', 'ulang', 'dan', 'proses', 'sangat', 'mempersulit', 'nasabah']","['banking', 'sering', 'eror', 'minta', 'aktivasi', 'ulang', '', 'proses', 'sangat', 'mempersulit', 'nasabah']","['banking', 'sering', 'eror', 'minta', 'aktivasi', 'ulang', '', 'proses', 'sangat', 'sulit', 'nasabah']",banking sering eror minta aktivasi ulang  prose sangat sulit nasabah
5,3,Sering ganguan pas mau tf,sering ganguan pas mau tf,sering ganguan pas mau tf,sering ganguan pas mau tf,"['sering', 'ganguan', 'pas', 'mau', 'tf']","['sering', 'ganguan', 'pas', 'mau', 'tf']","['sering', 'ganguan', 'pas', 'mau', 'tf']",sering ganguan pa mau transfer
6,5,"Dengan aplikasi ini memudahkan kita untuk bertransaksi,,,","dengan aplikasi ini memudahkan kita untuk bertransaksi,,,",dengan aplikasi ini memudahkan kita untuk bertransaksi,dengan aplikasi ini memudahkan kita untuk bertransaksi,"['dengan', 'aplikasi', 'ini', 'memudahkan', 'kita', 'untuk', 'bertransaksi']","['', 'aplikasi', '', 'memudahkan', '', '', 'bertransaksi']","['', 'aplikasi', '', 'mudah', '', '', 'transaksi']", aplikasi  mudah   transaksi
7,5,Bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
8,2,Kenapa tidak bisa di buka.. dan ada peringatan peringatan terjadi kesalahan cek koneksi internet anda dan coba lagi nanti..padahal jaringan saya bagus..tolong di bantu,kenapa tidak bisa di buka.. dan ada peringatan peringatan terjadi kesalahan cek koneksi internet anda dan coba lagi nanti..padahal jaringan saya bagus..tolong di bantu,kenapa tidak bisa di buka   dan ada peringatan peringatan terjadi kesalahan cek koneksi internet anda dan coba lagi nanti  padahal jaringan saya bagus  tolong di bantu,kenapa tidak bisa di buka   dan ada peringatan peringatan terjadi kesalahan cek koneksi internet anda dan coba lagi nanti  padahal jaringan saya bagus  tolong di bantu,"['kenapa', 'tidak', 'bisa', 'di', 'buka', 'dan', 'ada', 'peringatan', 'peringatan', 'terjadi', 'kesalahan', 'cek', 'koneksi', 'internet', 'anda', 'dan', 'coba', 'lagi', 'nanti', 'padahal', 'jaringan', 'saya', 'bagus', 'tolong', 'di', 'bantu']","['', '', '', '', 'buka', '', '', 'peringatan', 'peringatan', 'terjadi', 'kesalahan', 'cek', 'koneksi', 'internet', '', '', 'coba', '', '', 'padahal', 'jaringan', '', 'bagus', '', '', 'bantu']","['', '', '', '', 'buka', '', '', 'ingat', 'ingat', 'jadi', 'salah', 'cek', 'koneksi', 'internet', '', '', 'coba', '', '', 'padahal', 'jaring', '', 'bagus', '', '', 'bantu']",    buka   ingat ingat jadi salah cek koneksi internet   coba   padahal jaring  bagus   bantu
9,1,Kartu atmnya lama #cabangkobabangkabelitung,kartu atmnya lama #cabangkobabangkabelitung,kartu atmnya lama,kartu atmnya lama,"['kartu', 'atmnya', 'lama']","['kartu', 'atmnya', 'lama']","['kartu', 'atmnya', 'lama']",kartu atmnya lama
