;text;cluster;score
0;terus sering sendiri mohon mobile mau lot keluar kelas kantor ingat baru bangking baik aplikasi aktivasi aja;3;2
1;yang ujung transfer sulit padahal nomer minta masuk malah login kantor hampir guna cabang blokir benar baru baik atmnya aplikasi aktivasi;3;1
2;udah sama ribet padahal mobile mandiri bni bank aktivasi;3;1
3;virtual transfer transaksi sering sedot saldo mahal kalau jg gagal dana biso biaya bayar bata akun admin;3;1
4;ulang sulit sering sangat prose nasabah minta eror banking aktivasi;3;3
5;transfer sering pa mau;3;3
6;transaksi mudah aplikasi;0;5
7;bagus;1;5
8;salah padahal koneksi jaring jadi internet ingat coba cek buka bantu bagus;3;2
9;lama kartu atmnya;3;1
10;yang via telpon sangat respon mbanking layan kecewa hari eror buruk buat benerin baru banking banget atm;3;1
11;ulang terus restart perangkat kartu cabang atm aktivasi;3;1
12;transaksi terlalu tampil sama ribet paham otp mudah kena dengan cuman biaya besar bank;3;3
13;sudah mau masuk mana keluar kata buka bagai aplikasi;0;2
14;telpon saldo rb pulsa prose potong masuk lama kali habis gagal berapa beli;3;1
15;update terus paket masak data bulan aplikasi;0;3
16;sering sendiri blokir aplikasi;0;1
17;sistem masalah lumayan kelas ganggu baik bagus aplikasi;0;4
18;ulang pa mau masuk malah lagi jauh instal hubung hr hp bank bagaimana awal akun;3;1
19;transaksi sulit sering mudah masalah malah bukan;3;1
20;baik;2;5
21;tambah sim mudah lepas kartu akun;3;2
22;utama tutup tunai transaksi tidak tiba tiap tarik tahun susah ribet pernah narik min mau kota kok kemaren kartu kalau jadi hambat ganti gak daerah bank banget atmnya;3;4
23;ulang ujung terus nya masa blokir aplikasi aktivasi;3;1
24;sering sedot saldo qris masalah jaring gagal error aplikasi;0;1
25;tidak sudah gak eh cacat cabang atm aplikasi;0;1
26;terus suka sendiri minta kelas daerah blokir benar bank bagus aplikasi aktivasi;3;3
27;masalah jaring gabisa buka;3;1
28;tiba sampah panjang otp libur lambat keluar jam blokir aplikasi;3;1
29;ulang tidak rek nomor minta kode kartu bener aktivasi;3;2
30;tiba sering layan gagal blokir bank baik aplikasi akun;3;1
31;wa tempat susah soal selalu pa mau masuk login koneksi kalo kali jangan gimana coba buka buat blokir bank baik bagus;3;2
32;sangat manfaat bantu baik;2;4
33;jelas ganggu error dikit aplikasi;0;1
34;bagus;1;5
35;transfer ribet mau banget;3;2
36;versi sih sekarang;3;5
37;simpel praktis mudah aplikasiny;3;5
38;mobile banking baik;2;5
39;ulang sim pasang ny mohon minta masa lepas kartu karna hp card bolak blokir bank bangking balik baik aktivasi;3;1
40;yang ulang tapi sumsel sama rugi perangkat padahal nomor nali minta kurang kembang jelas jauh hp hari gak dari buka bug blokir benah bank baik babel aplikasi akun aktivasi ak;0;1
41;udah tapi susah sering ribu pulsa mau masuk habis gak eror centernya call banget aplikasi;3;1
42;mantap;1;5
43;mantap;1;5
44;mudah keren guna aplikasi;0;5
45;update makin kembang hari baik;2;5
46;yang sekali sangat bantu aplikasi;1;5
47;guna bagus aplikasi;0;5
48;usah transfer tidak sudah sih rekening perintah pakai pa mutu mohon mau malah kartu hampir gagal duit daftar daerah bulan benar banking bank balik atm aja;3;1
49;kerja baik aplikasi;2;5
50;yang tiap sama rumah ribet pakai mudah mbangking masuk masa mana malah makin lah koneksi kok kata jauh internet gimana ganggu bulan bukan buat berapa benerin baru bank baik appnya app apa aja;3;2
51;yah ulang terus selalu sekarang minta masuk gagal aplikasi aktivasi;3;3
52;tunggu transfer transaksi sering sekali sangat saldo potong paksa pakai masuk komplain kerja jelek hari gilir gaji error bank;3;1
53;terima sim sedang pasang otp minta masuk langsung keluar kartu kantor kali hp diaktivasi datang coba cabang blokir baik apa aman akun aktivasi aja;3;1
54;baik;2;2
55;ulang selalu sekarang minta ku kasih kalo jelek buka bsb bintang banking banget aktivasi aja;3;1
56;sangat panjang masa mantap bank baik;2;5
57;ulang tiba terang tahu suruh sama rek perangkat pakek padahal nomer masuk langsung kantor gilir gampang cuma blokir benar bank bagus apknya aktivasi;3;3
58;transfer susah online buat;3;1
59;sangat;1;5
60;ulang sering sekali salah minta langsung blokir bikin banget aktivasi;3;1
61;;3;
62;mudah mantap;1;5
63;transaksi perlu otp canggih;3;5
64;melulu error;3;1
65;ulang terlalu sering minta guna buat aktifasi;3;1
66;sangat manfaat;1;5
67;tingkat oke;3;5
68;terus lancar;3;5
69;simcard login error deteksi android;3;5
70;transaksi token sumselbabel moga mobile listrik kelas depan daerah beli banking bank baik;3;5
71;sekali manfaat aplikasi;0;5
72;tolong tiap servernya registrasi perhati mau masa login kali admin;3;2
73;via ulang tidak terus terimakasih sinyal ribet rasa kalo jdi buat blokir bank banget aplikasi aktivasi aja;3;3
74;tidak selalu saldo pulsa pakai mau masuk error beli;3;2
75;parah mantul;3;5
76;ulang gimana dekat cara bank apa aktivasi;3;5
77;ulang tidak suruh sekarang menu mbanking lapor kemaren jga jelas gak daftar buat baru aplikasi aktivasi;3;1
78;smga baik aplikasi;2;5
79;;3;
80;ujung segala pakai otp nunggu muncul lelet lama kode jelek gak aplikasi;3;1
81;transaksi susah suka malam kalau;3;2
82;mudah mantap guna aplikasi;0;5
83;top aplikasi;0;5
84;untk transaksi sangat mudah bagus aplikasi;1;5
85;bagus aplikasi;0;5
86;sangat mobile aman;1;5
87;sangat mudah guna aman;1;5
88;tingkat sumsel nyaman guna bank bagus babel aplikasi aman;0;5
89;sangat manfaat;1;5
90;sangat bantu;1;5
91;yang update tanggal pernah perangkat masa mana malah ganti coba blokir banking aplikasi;0;1
92;transaksi mudah lebih;1;5
93;mbanking mantap bsb;1;5
94;transaksi terimakasih sangat mohon moga langsung kartu kapan guna buat atm aplikasi ada;1;5
95;user simpel friendly;3;5
96;mantul luar biasa;3;5
97;yang tidak terus susah sumsel sekian ribet mau gagal dipake dari butuh bank babel aplikasi aktivasi;3;1
98;untuk transaksi moga mobile lebih fasilitas banyak;3;5
99;ribet punya oke nomor mbankingnya;3;5
100;transaksi semenjak mudah makin fast bi ada;3;5
101;baik;2;5
102;sangat guna;1;5
103;wallet top tidak tiap suka sistem sih selalu qris potong nunggu mau masa lama lah kena kembali jelas gagal dulu duit benerin banget apa aja;3;2
104;tuju transaksi sering lihat koneksi hasil eror daftar baik;3;1
105;ulang terang sering langsung koneksi kan hari gilir bener baik aneh aktivasi;3;1
106;sistem sering salah paling malah kelas gak eror blokir banyak aman;3;1
107;sering ngak maksimal layan kena jangan dikit blokir banget;3;3
108;keluar kartu kalau ganti gak blokir baik bagus;3;3
109;transaksi sayang sangat saldo potong perhati lengkap komplain keluh jujur ganggu fitur error beli beberapa bayar bantu aplikasi;1;3
110;uang transfer mudah lebih;3;5
111;oke;3;5
112;bagus;1;5
113;transaksi tampil sangat paham mudah bantu bagus;1;5
114;terus masalah kok jaring bagus aplikasi;0;1
115;baik;2;5
116;sering eror cuma bagus;3;5
