Unnamed: 0.1,Unnamed: 0,text,cluster,score,label
7,7,bagus,1.0,5.0,Positif
34,34,bagus,1.0,5.0,Positif
42,42,mantap,1.0,5.0,Positif
43,43,mantap,1.0,5.0,Positif
46,46,yang sekali sangat bantu aplikasi,1.0,5.0,Positif
59,59,sangat,1.0,5.0,Positif
62,62,mudah mantap,1.0,5.0,Positif
66,66,sangat manfaat,1.0,5.0,Positif
84,84,untk transaksi sangat mudah bagus aplikasi,1.0,5.0,Positif
86,86,sangat mobile aman,1.0,5.0,Positif
87,87,sangat mudah guna aman,1.0,5.0,Positif
89,89,sangat manfaat,1.0,5.0,Positif
90,90,sangat bantu,1.0,5.0,Positif
92,92,transaksi mudah lebih,1.0,5.0,Positif
93,93,mbanking mantap bsb,1.0,5.0,Positif
94,94,transaksi terimakasih sangat mohon moga langsung kartu kapan guna buat atm aplikasi ada,1.0,5.0,Positif
102,102,sangat guna,1.0,5.0,Positif
109,109,transaksi sayang sangat saldo potong perhati lengkap komplain keluh jujur ganggu fitur error beli beberapa bayar bantu aplikasi,1.0,3.0,Netral
112,112,bagus,1.0,5.0,Positif
113,113,transaksi tampil sangat paham mudah bantu bagus,1.0,5.0,Positif
117,117,bagus,1.0,4.0,Netral
119,119,sangat lengkap fitur bantu aplikasi,1.0,5.0,Positif
120,120,transaksi mudah mana,1.0,5.0,Positif
121,121,transaksi sangat mudah dannyaman bantu aman,1.0,5.0,Positif
124,124,transaksi sangat mudah moga makin lancar jaya bantu aplikasi,1.0,5.0,Positif
125,125,transaksi sangat mobile bsb bantu aman,1.0,5.0,Positif
127,127,transaksi mudah mana cepat bagus,1.0,5.0,Positif
153,153,sangat bantu,1.0,4.0,Netral
154,154,mantap,1.0,5.0,Positif
155,155,good,1.0,5.0,Positif
156,156,sangat puas pakai mbanking,1.0,5.0,Positif
157,157,mantap,1.0,5.0,Positif
161,161,transaksi sangat mudah,1.0,5.0,Positif
163,163,mantap,1.0,5.0,Positif
165,165,transaksi sekali sangat bantu,1.0,5.0,Positif
167,167,sangat praktis bantu,1.0,5.0,Positif
168,168,sangat bantu,1.0,5.0,Positif
175,175,simpel sangat prose mudah guna fiturnya bantu aplikasi,1.0,5.0,Positif
176,176,mantap kali,1.0,5.0,Positif
178,178,transaksi sangat rumah repot mudah laku keluar bantu bagai aplikasi,1.0,5.0,Positif
179,179,sangat muas,1.0,5.0,Positif
183,183,transaksi mudah,1.0,5.0,Positif
